Name,Season,Team,G,CG,ShO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
빌로우,2013,K,11,0,0,8,3,2,1,0,47.0,26,21,208,45,,,1,26,0,1,38,0,2,4.02,3.73,1.51,106.7,115.0,0.86,
로드리게스,2013,삼,11,0,0,11,3,5,0,0,57.1,29,28,249,49,,,6,30,0,2,46,1,3,4.4,4.78,1.38,97.5,89.6,0.81,
앤서니,2013,K,30,0,0,0,0,3,20,0,36.0,18,18,159,42,,,1,15,0,3,25,0,0,4.5,3.82,1.58,95.4,112.3,0.8,
주키치,2013,L,15,1,0,15,4,6,0,0,75.2,56,53,341,96,,,6,28,0,4,49,0,5,6.3,4.35,1.64,67.3,97.5,0.36,
핸킨스,2013,두,12,0,0,10,3,3,0,0,60.2,42,42,273,79,,,5,21,0,3,30,1,1,6.23,4.62,1.65,68.3,92.1,0.36,
올슨,2013,두,10,0,0,10,1,1,0,0,38.2,30,28,180,41,,,2,27,0,5,35,0,5,6.52,4.69,1.76,65.3,90.6,0.05,
카리대,2013,삼,3,0,0,1,0,1,0,0,2.1,7,7,21,8,,,0,6,0,0,1,0,1,27.0,10.21,6.0,15.9,42.0,-0.25,
밴헤켄,2014,넥,31,0,0,31,20,6,0,0,187.0,81,73,788,193,33.0,5.0,9,53,0,3,178,2,6,3.51,3.48,1.32,150.1,152.1,6.92,1.24
밴덴헐크,2014,삼,25,1,0,25,13,4,0,0,152.2,54,54,622,125,30.0,1.0,15,45,0,5,180,0,4,3.18,3.76,1.11,166.1,139.7,6.0,1.9
니퍼트,2014,두,30,1,0,28,14,7,0,1,179.1,83,76,760,186,20.0,1.0,17,48,0,6,158,0,10,3.81,4.23,1.31,129.7,118.7,5.03,0.22
옥스프링,2014,롯,32,0,0,31,10,8,0,0,184.1,93,86,781,184,48.0,1.0,20,63,1,5,130,0,1,4.2,4.95,1.34,129.8,107.8,4.79,-0.35
해커,2014,N,30,1,0,29,8,8,0,0,172.2,86,78,749,169,22.0,2.0,14,62,0,14,112,0,5,4.07,4.93,1.34,128.0,107.0,4.31,0.54
리오단,2014,L,28,2,1,28,9,10,0,0,168.0,80,74,707,177,32.0,5.0,13,37,1,10,77,0,8,3.96,4.77,1.27,124.9,106.3,4.14,0.45
찰리,2014,N,28,1,1,28,12,8,0,0,165.1,90,70,718,184,31.0,0.0,13,55,0,9,92,2,5,3.81,4.93,1.45,136.6,107.1,3.77,-0.82
마틴,2014,삼,23,0,0,22,9,6,0,0,128.0,69,68,562,148,36.0,0.0,10,31,1,7,84,2,2,4.78,4.43,1.4,110.6,119.3,3.54,0.01
소사,2014,넥,20,0,0,20,10,2,0,0,125.0,66,64,537,140,22.0,2.0,18,45,0,3,98,0,3,4.61,5.31,1.48,114.4,101.1,2.79,0.01
웨버,2014,N,24,0,0,23,9,6,0,0,118.0,66,60,512,132,25.0,0.0,13,42,0,3,85,2,5,4.58,4.99,1.48,113.7,105.8,2.57,-0.84
앨버스,2014,한,28,1,1,28,6,13,0,0,151.1,108,99,673,200,35.0,7.0,18,40,0,4,107,0,9,5.89,4.86,1.59,92.1,108.8,2.56,-3.69
밴와트,2014,S,11,0,0,11,9,1,0,0,66.2,27,23,282,56,7.0,1.0,6,26,1,5,56,0,1,3.11,4.7,1.23,164.4,110.8,2.0,0.78
유먼,2014,롯,28,0,0,28,12,10,0,0,151.2,109,100,701,196,22.0,6.0,20,63,0,3,84,0,3,5.93,5.77,1.71,91.9,92.8,1.95,-3.17
홀튼,2014,K,17,0,0,17,5,8,0,0,93.2,54,50,417,96,24.0,2.0,10,48,0,3,58,0,4,4.8,5.64,1.54,108.6,93.6,1.65,-0.58
티포드,2014,L,20,0,0,19,5,6,0,0,99.2,64,58,455,105,14.0,2.0,9,51,2,6,85,0,2,5.24,4.98,1.57,94.5,101.3,1.58,-1.5
울프,2014,S,23,0,0,13,2,2,4,0,85.1,48,46,364,88,17.0,0.0,10,27,0,6,41,0,1,4.85,5.58,1.35,105.2,94.1,1.54,-0.16
어센시오,2014,K,46,0,0,0,4,1,20,0,46.2,24,21,207,49,12.0,1.0,5,14,0,2,56,0,5,4.05,3.88,1.35,128.9,137.0,1.53,0.1
토마스,2014,K,10,0,0,9,2,2,0,0,46.2,26,23,210,55,9.0,0.0,3,19,1,1,51,0,0,4.44,3.73,1.59,117.7,142.8,1.37,-0.82
마야,2014,두,11,1,0,11,2,4,0,0,63.0,36,34,278,67,10.0,0.0,6,24,0,4,54,0,2,4.86,4.71,1.44,101.8,106.8,1.27,-0.15
타투스코,2014,한,14,1,0,12,2,6,0,0,63.2,51,50,299,64,9.0,2.0,7,45,0,6,49,0,10,7.07,6.15,1.71,76.8,86.0,0.52,-1.54
레이예스,2014,S,13,0,0,13,2,7,0,0,78.1,64,57,369,103,24.0,3.0,10,38,1,3,41,0,4,6.55,6.0,1.8,77.9,87.5,0.39,-2.54
볼스테드,2014,두,17,1,0,17,5,7,0,0,87.0,70,60,410,116,20.0,2.0,8,37,0,7,32,0,4,6.21,5.83,1.76,79.7,86.8,0.36,-2.01
나이트,2014,넥,6,0,0,6,1,2,0,0,29.1,22,18,142,36,6.0,0.0,5,22,0,1,19,0,0,5.52,7.13,1.98,95.5,75.3,0.19,-0.43
클레이,2014,한,10,0,0,10,3,4,0,0,40.0,40,37,204,62,7.0,4.0,8,25,0,3,20,0,0,8.33,7.56,2.18,65.2,69.9,-0.29,-1.57
린드블럼,2015,롯,32,2,1,32,13,11,0,0,210.0,86,83,861,196,32.0,3.0,28,52,0,12,180,0,12,3.56,4.55,1.18,141.7,108.6,6.48,1.95
해커,2015,N,31,1,0,31,19,5,0,0,204.0,81,71,833,174,34.0,0.0,14,36,1,25,164,0,6,3.13,3.78,1.03,152.9,129.0,5.64,3.14
밴헤켄,2015,넥,32,0,0,32,15,8,0,0,196.2,92,79,825,190,36.0,3.0,14,67,1,1,193,0,16,3.62,3.6,1.31,137.7,137.6,5.12,0.54
켈리,2015,S,30,1,0,29,11,10,0,0,181.0,87,83,775,188,28.0,1.0,16,54,1,5,139,2,9,4.13,4.19,1.34,117.0,115.8,4.4,-0.13
스튜어트,2015,N,19,0,0,19,8,2,0,0,117.2,37,35,488,116,16.0,1.0,7,26,0,6,109,1,4,2.68,3.35,1.21,179.0,145.5,4.32,1.46
